电影名称,上映日期, ,评分,电影网址
致命魔术 The Prestige,2006-10-17(罗马电影节),2006-10-20(美国),8.9,https://movie.douban.com/subject/1780330/
低俗小说 Pulp Fiction,1994-05-12(戛纳电影节),1994-10-14(美国),8.9,https://movie.douban.com/subject/1291832/
七宗罪 Se7en,1995-09-22(美国), ,8.8,https://movie.douban.com/subject/1292223/
沉默的羔羊 The Silence of the Lambs,1991-02-14(美国), ,8.8,https://movie.douban.com/subject/1293544/
蝴蝶效应 The Butterfly Effect,2004-01-23(美国), ,8.8,https://movie.douban.com/subject/1292343/
禁闭岛 Shutter Island,2010-02-13(柏林电影节),2010-02-19(美国),8.8,https://movie.douban.com/subject/2334904/
心灵捕手 Good Will Hunting,1997-12-05(美国), ,8.9,https://movie.douban.com/subject/1292656/
春光乍泄 春光乍洩,1997-05-30(中国香港),1997-05-17(戛纳电影节),8.9,https://movie.douban.com/subject/1292679/
布达佩斯大饭店 The Grand Budapest Hotel,2014-02-06(柏林电影节),2014-03-28(美国),8.8,https://movie.douban.com/subject/11525673/
被嫌弃的松子的一生 嫌われ松子の一生,2006-05-27(日本), ,8.9,https://movie.douban.com/subject/1787291/
摩登时代 Modern Times,1936-02-25(美国), ,9.3,https://movie.douban.com/subject/1294371/
阿凡达 Avatar,2010-01-04(中国大陆),2009-12-18(美国),8.7,https://movie.douban.com/subject/1652587/
剪刀手爱德华 Edward Scissorhands,1990-12-06(美国), ,8.7,https://movie.douban.com/subject/1292370/
勇敢的心 Braveheart,1995-05-18(西雅图电影节),1995-05-24(美国),8.9,https://movie.douban.com/subject/1294639/
喜剧之王 喜劇之王,1999-02-13(中国香港), ,8.7,https://movie.douban.com/subject/1302425/
致命ID Identity,2003-04-25(美国), ,8.8,https://movie.douban.com/subject/1297192/
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,2003-11-21(中国大陆),2003-07-09(美国),8.8,https://movie.douban.com/subject/1298070/
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,2011-08-04(中国大陆),2011-07-15(美国),8.9,https://movie.douban.com/subject/3011235/
天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001-04-25(法国),2001-08-16(德国),8.7,https://movie.douban.com/subject/1292215/
杀人回忆 살인의 추억,2003-05-02(韩国), ,8.8,https://movie.douban.com/subject/1300299/
断背山 Brokeback Mountain,2005-09-02(威尼斯电影节),"2006-01-06(加拿大),2006-01-13(美国)",8.8,https://movie.douban.com/subject/1418834/
狩猎 Jagten,2012-05-20(戛纳电影节),2013-01-10(丹麦),9.1,https://movie.douban.com/subject/6985810/
请以你的名字呼唤我 Call Me by Your Name,2017-01-22(圣丹斯电影节),2017-11-24(美国),8.9,https://movie.douban.com/subject/26799731/
幽灵公主 もののけ姫,1997-07-12(日本), ,8.9,https://movie.douban.com/subject/1297359/
7号房的礼物 7번방의 선물,2013-01-23(韩国), ,8.9,https://movie.douban.com/subject/10777687/
阳光灿烂的日子,1995-06-28(中国香港),"1995-08-21(中国大陆),1994-09-09(威尼斯电影节)",8.8,https://movie.douban.com/subject/1291875/
小森林 夏秋篇 リトル・フォレスト 夏・秋,2014-08-30(日本), ,9.0,https://movie.douban.com/subject/25814705/
重庆森林 重慶森林,1994-07-14(中国香港), ,8.7,https://movie.douban.com/subject/1291999/
第六感 The Sixth Sense,1999-08-06(美国), ,8.9,https://movie.douban.com/subject/1297630/
入殓师 おくりびと,2008-09-13(日本), ,8.8,https://movie.douban.com/subject/2149806/
红辣椒 パプリカ,2006-09-02(威尼斯电影节),2006-11-25(日本),9.0,https://movie.douban.com/subject/1865703/
小森林 冬春篇 リトル・フォレスト 冬・春,2015-02-14(日本), ,9.0,https://movie.douban.com/subject/25814707/
消失的爱人 Gone Girl,2014-09-26(纽约电影节),2014-10-03(美国),8.7,https://movie.douban.com/subject/21318488/
爱在黎明破晓前 Before Sunrise,1995-01-27(美国), ,8.8,https://movie.douban.com/subject/1296339/
一一,2017-07-28(中国台湾),"2000-05-14(戛纳电影节),2000-12-16(日本)",9.0,https://movie.douban.com/subject/1292434/
唐伯虎点秋香 唐伯虎點秋香,1993-07-01(中国香港), ,8.6,https://movie.douban.com/subject/1306249/
侧耳倾听 耳をすませば,1995-07-15(日本), ,8.9,https://movie.douban.com/subject/1297052/
超脱 Detachment,2011-04-25(翠贝卡电影节), ,8.9,https://movie.douban.com/subject/5322596/
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012-08-27(中国大陆),2012-07-20(美国),8.8,https://movie.douban.com/subject/3395373/
倩女幽魂,1987-07-18(中国香港),2011-04-30(中国大陆),8.7,https://movie.douban.com/subject/1297447/
玛丽和马克思 Mary and Max,2009-01-15(圣丹斯电影节),2009-04-09(澳大利亚),8.9,https://movie.douban.com/subject/3072124/
无人知晓 誰も知らない,2004-05-13(戛纳电影节),2004-08-07(日本),9.1,https://movie.douban.com/subject/1292337/
甜蜜蜜,1996-11-02(中国香港),2015-02-13(中国大陆),8.8,https://movie.douban.com/subject/1305164/
告白,2010-06-05(日本), ,8.7,https://movie.douban.com/subject/4268598/
萤火之森 蛍火の杜へ,2011-09-17(日本), ,8.9,https://movie.douban.com/subject/5989818/
超能陆战队 Big Hero 6,2015-02-28(中国大陆),"2020-07-31(中国大陆重映),2014-10-23(东京电影节),2014-11-07(美国)",8.7,https://movie.douban.com/subject/11026735/
大鱼 Big Fish,2003-12-04(纽约首映),2004-01-09(美国),8.8,https://movie.douban.com/subject/1291545/
阳光姐妹淘 써니,2011-05-04(韩国), ,8.8,https://movie.douban.com/subject/4917726/
驯龙高手 How to Train Your Dragon,2010-05-14(中国大陆),"2010-03-18(俄罗斯),2010-03-26(美国)",8.7,https://movie.douban.com/subject/2353023/
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010-07-17(日本), ,8.8,https://movie.douban.com/subject/4202302/
射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993-02-05(中国香港), ,8.7,https://movie.douban.com/subject/1316510/
菊次郎的夏天 菊次郎の夏,2020-09-10(中国大陆),"1999-05-20(戛纳电影节),1999-06-05(日本)",8.8,https://movie.douban.com/subject/1293359/
幸福终点站 The Terminal,2005-01-14(中国大陆),2004-06-18(美国),8.8,https://movie.douban.com/subject/1292274/
爱在日落黄昏时 Before Sunset,2004-02-10(柏林电影节),2004-07-30(美国),8.8,https://movie.douban.com/subject/1291990/
恐怖直播 더 테러 라이브,2013-07-31(韩国), ,8.8,https://movie.douban.com/subject/21360417/
完美的世界 A Perfect World,1993-11-24(美国), ,9.1,https://movie.douban.com/subject/1300992/
功夫,2004-12-23(中国大陆/中国香港),"2015-01-15(中国大陆3D),2004-09-14(多伦多电影节)",8.6,https://movie.douban.com/subject/1291543/
人生果实 人生フルーツ,2017-01-02(日本), ,9.5,https://movie.douban.com/subject/26874505/
神偷奶爸 Despicable Me,2010-06-20(莫斯科电影节),2010-07-09(美国),8.6,https://movie.douban.com/subject/3287562/
"怪兽电力公司 Monsters, Inc.",2001-11-02(美国),2012-12-19(美国),8.7,https://movie.douban.com/subject/1291579/
玩具总动员3 Toy Story 3,2010-06-16(中国大陆),2010-06-18(美国),8.8,https://movie.douban.com/subject/1858711/
天书奇谭,1983(中国大陆), ,9.2,https://movie.douban.com/subject/1428581/
傲慢与偏见 Pride & Prejudice,2005-09-16(英国), ,8.6,https://movie.douban.com/subject/1418200/
血战钢锯岭 Hacksaw Ridge,2016-12-08(中国大陆),"2016-09-04(威尼斯电影节),2016-11-04(美国)",8.7,https://movie.douban.com/subject/26325320/
教父3 The Godfather: Part III,1990-12-25(美国), ,8.9,https://movie.douban.com/subject/1294240/
时空恋旅人 About Time,2013-09-04(英国), ,8.7,https://movie.douban.com/subject/10577869/
风之谷 風の谷のナウシカ,1992-05(中国大陆),1984-03-11(日本),8.9,https://movie.douban.com/subject/1291585/
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,2004-09-10(中国大陆),2004-05-31(英国),8.7,https://movie.douban.com/subject/1291544/
釜山行 부산행,2016-05-13(戛纳电影节),2016-07-20(韩国),8.5,https://movie.douban.com/subject/25986180/
电锯惊魂 Saw,2004-01-19(圣丹斯电影节),2004-10-29(美国),8.7,https://movie.douban.com/subject/1417598/
上帝之城 Cidade de Deus,2002-05-18(戛纳电影节),2002-08-30(巴西),8.9,https://movie.douban.com/subject/1292208/
被解救的姜戈 Django Unchained,2013-05-12(中国大陆),2012-12-25(美国),8.7,https://movie.douban.com/subject/6307447/
哪吒闹海,1979-05-19(中国大陆), ,9.1,https://movie.douban.com/subject/1307315/
喜宴 囍宴,1993-02(柏林电影节),1993-08-04(美国),8.9,https://movie.douban.com/subject/1303037/
七武士 七人の侍,1954-04-26(日本), ,9.2,https://movie.douban.com/subject/1295399/
英雄本色,1986-08-02(中国香港),2017-11-17(中国大陆),8.7,https://movie.douban.com/subject/1297574/
我是山姆 I Am Sam,2001-12-03(美国), ,8.9,https://movie.douban.com/subject/1306861/
谍影重重3 The Bourne Ultimatum,2007-11-15(中国大陆),2007-08-03(美国),8.8,https://movie.douban.com/subject/1578507/
岁月神偷 歲月神偷,2010-03-11(中国香港),"2010-04-16(中国大陆),2010-02-14(柏林电影节)",8.7,https://movie.douban.com/subject/3792799/
头号玩家 Ready Player One,2018-03-30(中国大陆),"2018-03-11(西南偏南电影节),2018-03-29(美国)",8.7,https://movie.douban.com/subject/4920389/
