电影名称,上映日期, ,评分,电影网址
追随 Following,1998-09-12(多伦多电影节),1999-11-05(英国),8.9,https://movie.douban.com/subject/1397546/
千钧一发 Gattaca,1997-10-24(美国), ,8.8,https://movie.douban.com/subject/1300117/
我爱你 그대를 사랑합니다,2011-02-17(韩国), ,9.0,https://movie.douban.com/subject/5908478/
一次别离 جدایی نادر از سیمین,2012-11-13(中国大陆),"2011-02-15(柏林电影节),2011-03-16(伊朗)",8.7,https://movie.douban.com/subject/5964718/
黑鹰坠落 Black Hawk Down,2001-12-18(美国), ,8.7,https://movie.douban.com/subject/1291824/
黑客帝国2：重装上阵 The Matrix Reloaded,2003-07-18(中国大陆),"2003-05-07(韦斯特伍德首映),2003-05-15(美国)",8.6,https://movie.douban.com/subject/1304141/
网络谜踪 Searching,2018-12-14(中国大陆),"2018-01-20(圣丹斯电影节),2018-08-24(美国)",8.6,https://movie.douban.com/subject/27615441/
四个春天,2019-01-04(中国大陆),"2017-12-30(UCCA艺术放映),2018-07-23(FIRST青年影展)",8.9,https://movie.douban.com/subject/27191492/
发条橙 A Clockwork Orange,1971-12-19(纽约首映),1972-01-13(英国),8.6,https://movie.douban.com/subject/1292233/
E.T. 外星人 E.T.: The Extra-Terrestrial,1982-05-26(戛纳电影节),1982-06-11(美国),8.6,https://movie.douban.com/subject/1294638/
